representante_legal	razon_social	monto	fecha	description	razon_social_normalizada	node_id_panama_papers
wilson miguel pinilla ortega	impulsores internacionales sas	17118652	17 de october   de 2014  05:27 p.m.	alquiler de un equipo de ecografia, que incluya mantenimiento preventivo, correctivo y soporte tècnico para el hospital militar central	impulsores internacionales	10211803
luis javier cardona velàsquez	comercial internacional de equipos y maquinaria s.a.s.- navitrans s.a.s.	362000000	30 de october   de 2012  08:22 a.m.	adquirir una retroexcavadora y una volqueta para realizar obras de mantenimiento vias urbanas y rurales del municipio de cajicá	navitrans	10051770,10148707
nelson rios villamizar	disico s.a.	24000000	12 de mayo de 2014	asistencia técnica de seccionadores para la campaña de perforación 2014 del proyecto chichimene correspondiente a la superintendencia de operaciones castilla ¿ chichimene de ecopetrol s.a.	disico	10163683,10163694
nestor diego villegas hurtado	navitrans s.a.s.	4225683	18 de february  de 2014  04:33 p.m.	prestar los servicios para realizar el mantenimineto preventivo y correctivo a todo costo  de la retroexcavadora 590 ¿ super n de propiedad del  municipio   de alpujarra tolima	navitrans	10051770,10148707
carlos alfonso romero zarama	comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s	430000000	31 de december  de 2015  10:16 a.m.	adquisición de dos buses para el transporte de los estudiantes de las instituciones y centros educativos del municipio de guachucal - departamento de nariño	navitrans	10051770,10148707
luis javier cardona velasquez	comercial de equipos y maquinaria  s.a.s navitrans s.a.s	460000000	15 de october   de 2013  12:16 p.m.	compraventa de un motoniveladora modelo 2014 para fortalecer el parque automotor del municipio de nilo cundinamarca	navitrans	10051770,10148707
diego fernando rivera giraldo	navitrans	815909	15 de febrero de 2012	realizar el mantenimiento preventivo, por cumplimento de las 7.000 kilómetros  de servicio de  la volqueta de marca international de placas ocm 182, de propiedad del municipio de combita	navitrans	10051770,10148707
julian ricardo russi ramirez	impulsores internacionales sas	23060000	05 de november  de 2015  05:29 p.m.	suministro de material rayos x y medico quirurgico para la ese hospital departamental san antonio de pitalito huila	impulsores internacionales	10211803
jose antonio mejia nuñez	navitrans s.a.s	580000000	20 de october   de 2015  06:28 p.m.	adquisición de una maquinaria tipo motoniveladora para realizar recuperación y mantenimiento de la vías rurales del municipio de anserma (caldas)	navitrans	10051770,10148707
nestor diego villegas hurtado	navitrans s.a.s	6620303	23 de october   de 2012  02:55 p.m.	mantenimiento preventivo y correctivo de la retroexcavadora case 580sm por 3000 horas de servicio con suministro de repuestos y aceites, según el detalle	navitrans	10051770,10148707
